customer_id,customer_segment,customer_name,num_orders,avg_order_value,total_spend,churn_rate,estimated_ltv
45557,Enterprise,Martin Inc Solutions,6,3244.41,19466.46,0.1006,193503.58
63381,Enterprise,Mcintosh Inc Systems,6,3203.35,19220.12,0.1006,191054.87
19777,Enterprise,Tran-Adams LLC,6,3117.64,18705.85,0.1006,185942.84
55597,Enterprise,Franklin-Simmons LLC,10,1869.68,18696.81,0.1006,185852.98
54070,Enterprise,Price PLC LLC,6,3033.76,18202.56,0.1006,180939.96
13278,Enterprise,"Nelson, Diaz and Gregory Inc.",10,1815.51,18155.06,0.1006,180467.79
1704,Enterprise,Dawson and Sons Group,6,2978.61,17871.63,0.1006,177650.4
612,Enterprise,Anderson Group Systems,9,1968.46,17716.18,0.1006,176105.17
27037,Enterprise,Thomas-Warren Inc.,6,2941.05,17646.31,0.1006,175410.64
58522,Enterprise,"Carson, Young and Calderon Inc.",7,2517.55,17622.83,0.1006,175177.24
22106,Enterprise,Long LLC Systems,6,2918.93,17513.59,0.1006,174091.35
59709,Enterprise,"Shepard, Cantrell and Fletcher Solutions",6,2911.68,17470.06,0.1006,173658.65
66798,Enterprise,Cohen PLC Systems,6,2898.88,17393.26,0.1006,172895.23
5011,Enterprise,Smith Group Solutions,6,2898.27,17389.64,0.1006,172859.24
25813,Enterprise,"Hanna, Arnold and Roth Inc.",6,2875.17,17251.05,0.1006,171481.61
6756,Enterprise,"Olson, Martin and Baker Solutions",6,2858.09,17148.53,0.1006,170462.52
29334,Enterprise,Cervantes PLC Group,6,2844.59,17067.52,0.1006,169657.26
12269,Enterprise,Harrison-Myers Solutions,6,2827.7,16966.23,0.1006,168650.4
33433,Enterprise,Bell LLC Systems,6,2817.87,16907.24,0.1006,168064.02
24464,Enterprise,Stephenson-Gordon LLC,6,2804.01,16824.04,0.1006,167236.98
48929,Enterprise,"Murphy, Silva and Pearson Systems",6,2802.03,16812.17,0.1006,167118.99
11809,Enterprise,Lewis-Spencer Solutions,6,2769.78,16618.71,0.1006,165195.92
1875,Enterprise,"Villegas, Sanchez and Mora Group",6,2768.36,16610.18,0.1006,165111.13
55559,Enterprise,Jones Group Group,5,3313.1,16565.5,0.1006,164667.0
4299,Enterprise,Berry Ltd Group,6,2756.83,16540.97,0.1006,164423.16
32449,Enterprise,"Campbell, Burgess and Lambert Systems",6,2755.41,16532.47,0.1006,164338.67
70069,Enterprise,Hoffman Group Inc.,6,2720.35,16322.11,0.1006,162247.61
31148,Enterprise,Cox PLC Solutions,6,2698.33,16189.98,0.1006,160934.19
20992,Enterprise,Rogers Ltd LLC,6,2696.84,16181.05,0.1006,160845.43
11225,Enterprise,"Gordon, Mendoza and Norris Group",10,1617.25,16172.52,0.1006,160760.64
35164,Enterprise,Griffin Inc Systems,8,2017.35,16138.77,0.1006,160425.15
57345,Enterprise,Williams-Klein Group,8,2015.72,16125.79,0.1006,160296.12
33869,Enterprise,"Jones, Bishop and Coleman Inc.",6,2682.85,16097.09,0.1006,160010.83
51618,Enterprise,Hudson Ltd Systems,6,2677.56,16065.37,0.1006,159695.53
65129,Enterprise,Meyer Ltd Solutions,6,2666.4,15998.42,0.1006,159030.02
25470,Enterprise,Jones Group Group,6,2663.87,15983.21,0.1006,158878.83
5415,Enterprise,Garcia Inc Group,6,2663.68,15982.09,0.1006,158867.69
33959,Enterprise,"Hays, Foley and Jones LLC",9,1772.52,15952.64,0.1006,158574.95
9903,Enterprise,Wall Inc LLC,6,2657.1,15942.6,0.1006,158475.15
36863,Enterprise,Alexander LLC Group,6,2655.39,15932.36,0.1006,158373.36
9104,Enterprise,"Gray, Cuevas and Arias LLC",6,2652.17,15913.03,0.1006,158181.21
56801,Enterprise,Haney Group Group,6,2646.45,15878.69,0.1006,157839.86
59075,Enterprise,West LLC Solutions,6,2645.98,15875.9,0.1006,157812.13
51142,Enterprise,Miller-Richardson Solutions,7,2267.11,15869.78,0.1006,157751.29
47035,Enterprise,Ochoa and Sons Systems,6,2637.56,15825.34,0.1006,157309.54
22764,Enterprise,"Stone, Lopez and Blair Systems",7,2259.11,15813.74,0.1006,157194.23
58096,Enterprise,Hickman PLC Systems,6,2620.15,15720.91,0.1006,156271.47
66445,Enterprise,Ramos-Wood Systems,7,2245.66,15719.6,0.1006,156258.45
70537,Enterprise,Jones-Kelly LLC,5,3143.81,15719.07,0.1006,156253.18
13095,Enterprise,Johnson-Harris Group,6,2617.89,15707.34,0.1006,156136.58
27891,Enterprise,"May, Marquez and Fitzgerald Group",6,2614.33,15685.96,0.1006,155924.06
17587,Enterprise,Medina-Boyer Solutions,6,2611.94,15671.63,0.1006,155781.61
28759,Enterprise,"Rodriguez, Davis and Ferguson Solutions",6,2609.16,15654.98,0.1006,155616.1
31897,Enterprise,Ball-Avila Group,10,1565.22,15652.25,0.1006,155588.97
27912,Enterprise,Gomez-Douglas Systems,6,2599.13,15594.77,0.1006,155017.59
25907,Enterprise,Chung-Gutierrez Solutions,5,3114.03,15570.14,0.1006,154772.76
24809,Enterprise,Bridges-Oliver Inc.,5,3113.77,15568.86,0.1006,154760.04
50195,Enterprise,Douglas-Kelly Group,5,3112.14,15560.72,0.1006,154679.13
7213,Enterprise,Daniels-Young Systems,6,2586.47,15518.79,0.1006,154262.33
44601,Enterprise,"Ferguson, Dennis and Butler Inc.",5,3086.75,15433.73,0.1006,153416.8
23416,Enterprise,Wilson Group Solutions,6,2570.57,15423.43,0.1006,153314.41
23930,Enterprise,Lopez-Morgan Group,6,2563.13,15378.75,0.1006,152870.28
29153,Enterprise,"Peterson, Sanchez and White Solutions",5,3067.77,15338.83,0.1006,152473.46
35891,Enterprise,"Palmer, Carney and Garcia Inc.",6,2555.21,15331.26,0.1006,152398.21
67934,Enterprise,Matthews Inc Solutions,6,2552.69,15316.16,0.1006,152248.11
65707,Enterprise,Schneider-Doyle Inc.,6,2549.68,15298.1,0.1006,152068.59
11546,Enterprise,"Bailey, Kim and Peters Systems",6,2536.87,15221.19,0.1006,151304.08
35280,Enterprise,Kelly-Martinez Group,6,2532.83,15196.98,0.1006,151063.42
70767,Enterprise,"Juarez, Martin and Henson Solutions",6,2526.62,15159.71,0.1006,150692.94
67776,Enterprise,Davis Inc Inc.,5,3014.02,15070.12,0.1006,149802.39
72784,Enterprise,Rodriguez-Jensen Systems,6,2511.57,15069.4,0.1006,149795.23
69782,Enterprise,"Perez, Alexander and Johnson Group",5,3013.47,15067.35,0.1006,149774.85
46873,Enterprise,"Benitez, Cunningham and Kelly LLC",6,2509.43,15056.58,0.1006,149667.79
62466,Enterprise,Waters and Sons Group,6,2508.57,15051.42,0.1006,149616.5
23766,Enterprise,Reed and Sons Inc.,6,2507.03,15042.2,0.1006,149524.85
68310,Enterprise,"Gibson, Brown and Baker LLC",10,1503.07,15030.72,0.1006,149410.74
22682,Enterprise,Rodriguez Group Group,6,2504.21,15025.26,0.1006,149356.46
21631,Enterprise,Brown-Atkins Inc.,6,2504.05,15024.32,0.1006,149347.12
22611,Enterprise,Neal PLC LLC,6,2501.1,15006.62,0.1006,149171.17
46111,Enterprise,Fisher PLC LLC,6,2500.94,15005.66,0.1006,149161.63
58450,Enterprise,Lara-Walker LLC,9,1666.66,14999.98,0.1006,149105.17
29371,Enterprise,"Tran, Murray and Brown Inc.",6,2496.68,14980.09,0.1006,148907.46
5682,Enterprise,"Peterson, Robinson and Garza Inc.",6,2493.02,14958.11,0.1006,148688.97
17291,Enterprise,"Larson, Sanders and Matthews Inc.",6,2491.14,14946.83,0.1006,148576.84
15376,Enterprise,Lewis-Hall Inc.,6,2481.1,14886.61,0.1006,147978.23
53377,Enterprise,Martin LLC LLC,6,2475.33,14851.96,0.1006,147633.8
67098,Enterprise,Pham Inc Inc.,6,2472.31,14833.85,0.1006,147453.78
12017,Enterprise,"Gonzales, Odonnell and Roberts Inc.",6,2471.61,14829.66,0.1006,147412.13
29808,Enterprise,King-King Inc.,6,2464.93,14789.61,0.1006,147014.02
33239,Enterprise,Becker-Murray Group,6,2462.82,14776.91,0.1006,146887.77
37760,Enterprise,Williams-Potter LLC,9,1641.1,14769.89,0.1006,146817.99
26346,Enterprise,Brown PLC Group,6,2460.08,14760.45,0.1006,146724.16
25748,Enterprise,Jones-Barnes LLC,6,2453.53,14721.16,0.1006,146333.6
23652,Enterprise,"Edwards, Ferguson and Russell Group",6,2450.53,14703.18,0.1006,146154.87
52442,Enterprise,Patel Ltd Solutions,5,2940.4,14702.0,0.1006,146143.14
