customer_id,customer_segment,name,Total Orders,Total Revenue,Expansion Revenue
16193,Enterprise,Ashley Cooley,6,19186.82,15830.53
5960,Enterprise,Lisa Rivas,6,18141.6,15690.93
44522,Enterprise,Kathleen Schneider,6,19181.8,15627.54
44422,Enterprise,Anna Ochoa,6,17541.6,15234.79
63601,Enterprise,Kevin Webster,6,15395.64,15026.13
72796,Enterprise,Elizabeth Johnson,6,16803.27,15001.71
38401,Enterprise,Hannah Romero,6,14793.36,14665.83
14743,Enterprise,John Stevens,6,15512.1,14646.32
33357,Enterprise,Michael Scott,6,14887.14,14632.08
14342,Enterprise,John Hamilton,6,14975.8,14356.16
25189,Enterprise,Mackenzie Richardson,6,17575.07,14352.88
64925,Enterprise,Victoria Cooper,6,14837.45,14256.42
52963,Enterprise,Emily Vega,6,17510.74,14123.7
62463,Enterprise,Rebekah Ibarra,6,15336.28,14033.14
19225,Enterprise,Mark Cummings,6,16634.84,13954.79
5806,Enterprise,Larry Avila,6,17827.55,13931.77
18392,Enterprise,Shaun Allen,6,14728.25,13918.94
50257,Enterprise,Cristian Russell,6,14737.82,13842.41
63856,Enterprise,Jimmy West,5,14614.71,13782.54
3450,Enterprise,Melissa Booker,6,15241.88,13741.16
